MESSAGE_ID,BOARD_ID,SERVER_ID,STAR_COUNT
850937069471006780,850937833409740810,0,0
850900421072650251,850949723561000970,0,0
850948076049924117,850950030042202132,0,0
850918410527571978,850950581978660866,0,0
850950395714600960,850950988122554418,0,0
850951281225105409,850951305879093248,0,0
850951305879093248,850951405065207849,0,0
850950988122554418,850951495250608168,0,0
847735612533899304,850951621516066856,0,0
847735272678359096,850951648570638409,0,0
847586232099274812,850951677183787009,0,0
850949910635216906,850951767671046206,0,0
850951981664174112,850952052850819102,0,0
850951598222213160,850962670547238934,0,0
850951598222213160,850962682823049216,0,0
850986537171550218,850988402559156225,0,0
851388269974650920,851470764402147328,0,0
851244266940530739,851548461697728514,0,0
851341961147580456,851591663096692747,0,0
850997588614184980,851591702724345876,0,0
851594816600801290,851595027926220812,0,0
851662862807990292,851681451199430677,0,0
851960570214481930,851970537420357642,0,0
852428369618665483,852428411556200458,0,0
852499609908412446,852499673687916554,0,0
854212631488102410,854212940215615489,0,0
854227057139777537,854229915268022293,0,0
853577900530991124,855695228060041287,826946831958933554,2
853577900530991124,856044740930568192,826946831958933554,3
856068690172968991,856068769893580882,760375168815071264,2
856067786484613140,856078527840649216,760375168815071264,2
